filename,width,height,class,xmin,ymin,xmax,ymax
005_00025118-41.jpg,2550,3196,section,361,190,789,317
005_00025118-41.jpg,2550,3196,list,356,302,2265,2426
005_00025034-12.jpg,2033,2938,text,291,421,1715,735
005_00025034-12.jpg,2033,2938,section,282,793,1008,873
005_00025034-12.jpg,2033,2938,text,269,1263,1702,1509
005_00025034-12.jpg,2033,2938,text,287,896,1706,1250
005_00025034-12.jpg,2033,2938,section,251,1545,954,1621
005_00025034-12.jpg,2033,2938,text,278,1639,1702,2096
005_00025034-12.jpg,2033,2938,text,305,2096,1715,2387
005_00025034-12.jpg,2033,2938,text,273,2392,1711,2642
005_00025004-484.jpg,2550,3300,section,538,80,2042,186
005_00025004-484.jpg,2550,3300,figure,342,267,956,865
005_00025004-484.jpg,2550,3300,section,956,589,1529,654
005_00025004-484.jpg,2550,3300,section,961,246,1962,312
005_00025004-484.jpg,2550,3300,text,956,312,2143,599
005_00025004-484.jpg,2550,3300,text,961,649,2143,860
005_00025004-484.jpg,2550,3300,section,327,880,805,941
005_00025004-484.jpg,2550,3300,text,327,1338,775,1398
005_00025004-484.jpg,2550,3300,section,332,1333,760,1409
005_00025004-484.jpg,2550,3300,text,342,931,2138,1328
005_00025004-484.jpg,2550,3300,text,342,1419,1127,1796
005_00025004-484.jpg,2550,3300,figure,1137,1358,2143,2470
005_00025004-484.jpg,2550,3300,section,327,1806,825,1861
005_00025004-484.jpg,2550,3300,text,337,1876,1127,2460
005_00025004-484.jpg,2550,3300,text,297,2460,880,2505
005_00025004-484.jpg,2550,3300,text,342,2510,2103,2656
005_00025004-484.jpg,2550,3300,section,312,2651,594,2721
005_00025004-484.jpg,2550,3300,section,297,2455,860,2515
005_00025004-484.jpg,2550,3300,text,332,2711,2093,2893
005_00025155-12.jpg,2479,3508,section,160,1230,1529,1396
005_00025155-12.jpg,2479,3508,section,134,1385,1620,1599
005_00025155-12.jpg,2479,3508,figure,1674,326,2353,706
005_00025155-12.jpg,2479,3508,text,182,1610,1775,2000
005_00025155-12.jpg,2479,3508,figure,16,2128,2460,2610
005_00025155-12.jpg,2479,3508,text,150,3080,1438,3390
005_00025155-3.jpg,2479,3508,section,155,567,1289,711
005_00025155-3.jpg,2479,3508,text,187,743,2315,1203
005_00025155-3.jpg,2479,3508,text,203,1235,2283,1663
005_00025155-3.jpg,2479,3508,text,139,1706,850,2005
005_00025155-3.jpg,2479,3508,text,888,1706,1594,2332
005_00025155-3.jpg,2479,3508,text,1636,1684,2326,2321
005_00025155-3.jpg,2479,3508,figure,16,2503,2465,3123
005_00025261-1.jpg,2479,3508,section,444,225,2053,449
005_00025261-1.jpg,2479,3508,text,406,476,2096,583
005_00025261-1.jpg,2479,3508,text,246,620,2310,984
005_00025261-1.jpg,2479,3508,section,658,1160,1893,1262
005_00025261-1.jpg,2479,3508,text,567,1251,1947,1428
005_00025261-1.jpg,2479,3508,section,171,1460,508,1540
005_00025261-1.jpg,2479,3508,text,160,1567,2342,1861
005_00025261-1.jpg,2479,3508,section,572,1952,1941,2166
005_00025261-1.jpg,2479,3508,section,620,1989,1893,2075
